trackName;artistName;endTime;msPlayed;TrackID;Popularity;msDuration;Release_day;Uri;Acousticness;Danceability;Energy;Speechiness;Instrumentalness;Liveness;Valence;Loudeness;Tempo;Time_signature;Key;Mode;uri2;id2
From the Flame;Leprous;2020-05-14 17:37;231346;1tBxs9BqNlBXbIxVaCBrv5;50;231346;2017-08-25;spotify:track:1tBxs9BqNlBXbIxVaCBrv5;0.0343;0.538;0.743;0.0515;0.00187;0.103;0.316;-5.928;4;4;0;231347;spotify:track:1tBxs9BqNlBXbIxVaCBrv5;1tBxs9BqNlBXbIxVaCBrv5
Alleviate;Leprous;2020-05-14 17:41;222415;1L2dVs7ppm3cSYpSuHId5S;47;222415;2019-10-25;spotify:track:1L2dVs7ppm3cSYpSuHId5S;0.664;0.408;0.325;0.0486;4.99e-05;0.061;0.224;-8.67;4;2;0;222416;spotify:track:1L2dVs7ppm3cSYpSuHId5S;1L2dVs7ppm3cSYpSuHId5S
I Lose Hope;Leprous;2020-05-14 17:41;20466;4kGPw485VZSyInIZ0JjL1u;47;284395;2019-10-25;spotify:track:4kGPw485VZSyInIZ0JjL1u;0.0666;0.602;0.563;0.0321;0.0269;0.157;0.611;-8.841;4;11;0;284396;spotify:track:4kGPw485VZSyInIZ0JjL1u;4kGPw485VZSyInIZ0JjL1u
I Lose Hope;Leprous;2020-05-14 18:39;66676;4kGPw485VZSyInIZ0JjL1u;47;284395;2019-10-25;spotify:track:4kGPw485VZSyInIZ0JjL1u;0.0666;0.602;0.563;0.0321;0.0269;0.157;0.611;-8.841;4;11;0;284396;spotify:track:4kGPw485VZSyInIZ0JjL1u;4kGPw485VZSyInIZ0JjL1u
Alleviate;Leprous;2020-05-14 18:43;0;1L2dVs7ppm3cSYpSuHId5S;47;222415;2019-10-25;spotify:track:1L2dVs7ppm3cSYpSuHId5S;0.664;0.408;0.325;0.0486;4.99e-05;0.061;0.224;-8.67;4;2;0;222416;spotify:track:1L2dVs7ppm3cSYpSuHId5S;1L2dVs7ppm3cSYpSuHId5S
Alleviate;Leprous;2020-05-14 18:43;222415;1L2dVs7ppm3cSYpSuHId5S;47;222415;2019-10-25;spotify:track:1L2dVs7ppm3cSYpSuHId5S;0.664;0.408;0.325;0.0486;4.99e-05;0.061;0.224;-8.67;4;2;0;222416;spotify:track:1L2dVs7ppm3cSYpSuHId5S;1L2dVs7ppm3cSYpSuHId5S
The Price;Leprous;2020-05-14 18:43;3043;134I0qT6UrkDjhbI6bx0x3;50;314133;2015-06-02;spotify:track:134I0qT6UrkDjhbI6bx0x3;0.0126;0.37;0.713;0.0581;0.111;0.0928;0.54;-8.041;4;8;1;314133;spotify:track:134I0qT6UrkDjhbI6bx0x3;134I0qT6UrkDjhbI6bx0x3
From the Flame;Leprous;2020-05-14 18:43;206;1tBxs9BqNlBXbIxVaCBrv5;50;231346;2017-08-25;spotify:track:1tBxs9BqNlBXbIxVaCBrv5;0.0343;0.538;0.743;0.0515;0.00187;0.103;0.316;-5.928;4;4;0;231347;spotify:track:1tBxs9BqNlBXbIxVaCBrv5;1tBxs9BqNlBXbIxVaCBrv5
I Lose Hope;Leprous;2020-05-14 18:43;245;4kGPw485VZSyInIZ0JjL1u;47;284395;2019-10-25;spotify:track:4kGPw485VZSyInIZ0JjL1u;0.0666;0.602;0.563;0.0321;0.0269;0.157;0.611;-8.841;4;11;0;284396;spotify:track:4kGPw485VZSyInIZ0JjL1u;4kGPw485VZSyInIZ0JjL1u
From the Flame;Leprous;2020-05-14 18:57;363550;1tBxs9BqNlBXbIxVaCBrv5;50;231346;2017-08-25;spotify:track:1tBxs9BqNlBXbIxVaCBrv5;0.0343;0.538;0.743;0.0515;0.00187;0.103;0.316;-5.928;4;4;0;231347;spotify:track:1tBxs9BqNlBXbIxVaCBrv5;1tBxs9BqNlBXbIxVaCBrv5
